Japan,1904.4431,2123.2505,2178.991,2356.9175,2419.7095,2973.9624,3316.3572,3554.1157,3529.2878,3985.5457,2857.23,3724.0,4699.0,6354.0,9035.0,12725.0,17110.0,18600.0,21404.0,23548.0,27393.0,30977.814,32784.156,33210.81,34313.56,35496.227,35537.438,37384.56,36826.64
Jordan,,,,,,,,,,,,2751.0,3410.0,3714.0,4752.0,4262.0,3754.0,4935.0,7141.0,7599.0,7571.0,6456.123,6783.229,7621.841,9288.616,11378.256,11704.657,9149.412,8896.383
Kazakhstan,,,,,,,,,,,,,,,,,,,11899.0,11553.0,12256.0,10012.611,7826.8574,9309.42,13929.7295,18665.766,22089.924,23731.512,25124.486
Kenya,,,652.13824,629.8157,687.2166,,,1068.2949,1058.7281,1230.9309,,1063.0,1173.0,1157.0,1208.0,1366.0,1524.0,1503.0,1675.0,1594.0,1741.0,1724.8744,1851.2814,1914.8864,2066.2102,2357.2324,2754.7646,2975.4795,3129.5852
Kuwait,,,,,,,,,,,,47856.0,52404.0,45929.0,40333.0,35546.0,48283.0,28956.0,21154.0,14384.0,12317.0,12965.067,29612.66,35844.746,55911.793,75138.12,80657.13,79289.17,66365.99
Kyrgyzstan,,,,,,,,,,,,,,,,,,,5848.0,5952.0,5679.0,4362.113,2901.5542,3246.383,3632.1472,4046.7207,4103.82,4925.4097,4899.061
Laos,,,,,,,,,,,,714.0,744.0,771.0,802.0,834.0,886.0,1023.0,1054.0,1344.0,1286.0,1563.9058,1899.8959,2262.2356,2784.6802,3614.4768,4670.0,5859.663,6824.144
Latin America (MPD),,1713.7573,,,,2332.3687,,,,,,,,4698.2524,,,,,8611.507,,,,,10132.75,,,,14074.377,12865.496
Latvia,,,,,,,,,,,,,,,,,,,13739.0,14682.0,14875.0,9411.195,8947.269,11309.74,15371.182,20342.2,19970.031,22913.023,25453.064
Lebanon,,,,,,,,,,,,5327.0,6663.0,5812.0,6156.0,6876.0,8228.0,2442.0,4608.0,4828.0,4385.0,4618.0054,6567.4004,7405.707,9491.61,12479.107,16284.763,13073.557,10182.637
